yil,brend,model,jami_savdo,otgan_yilgi_savdo,yoy_osish_foizi
2023,Zeekr,001,221,,
2024,Zeekr,001,213,221,-3.6
2025,Zeekr,001,214,213,0.5
2022,Chery,Arrizo 6 Pro,169,,
2023,Chery,Arrizo 6 Pro,443,169,162.1
2024,Chery,Arrizo 6 Pro,751,443,69.5
2025,Chery,Arrizo 6 Pro,897,751,19.4
2022,BYD,Chazor (Destroyer 05),577,,
2023,BYD,Chazor (Destroyer 05),2329,577,303.6
2024,BYD,Chazor (Destroyer 05),4966,2329,113.2
2025,BYD,Chazor (Destroyer 05),6367,4966,28.2
2022,Chevrolet,Cobalt,6591,,
2023,Chevrolet,Cobalt,7361,6591,11.7
2024,Chevrolet,Cobalt,8555,7361,16.2
2025,Chevrolet,Cobalt,9110,8555,6.5
2022,Chevrolet,Damas,5812,,
2023,Chevrolet,Damas,6609,5812,13.7
2024,Chevrolet,Damas,7644,6609,15.7
2025,Chevrolet,Damas,7791,7644,1.9
2022,Jetour,Dashing,105,,
2023,Jetour,Dashing,237,105,125.7
2024,Jetour,Dashing,400,237,68.8
2025,Jetour,Dashing,471,400,17.8
2022,Haval,H6,110,,
2023,Haval,H6,258,110,134.5
2024,Haval,H6,421,258,63.2
2025,Haval,H6,497,421,18.1
2022,BYD,Han,76,,
2023,BYD,Han,170,76,123.7
2024,BYD,Han,357,170,110.0
2025,BYD,Han,471,357,31.9
2022,Haval,Jolion,186,,
2023,Haval,Jolion,493,186,165.1
2024,Haval,Jolion,808,493,63.9
2025,Haval,Jolion,999,808,23.6
2022,Kia,K5,187,,
2023,Kia,K5,268,187,43.3
2024,Kia,K5,409,268,52.6
2025,Kia,K5,489,409,19.6
2023,Li Auto,L7/L9,184,,
2024,Li Auto,L7/L9,176,184,-4.3
2025,Li Auto,L7/L9,176,176,0.0
2022,Chevrolet,Labo,3245,,
2023,Chevrolet,Labo,3503,3245,8.0
2024,Chevrolet,Labo,4056,3503,15.8
2025,Chevrolet,Labo,4146,4056,2.2
2022,Chevrolet,Lacetti/Gentra,5450,,
2023,Chevrolet,Lacetti/Gentra,6048,5450,11.0
2024,Chevrolet,Lacetti/Gentra,2274,6048,-62.4
2022,Haval,M6,212,,
2023,Haval,M6,561,212,164.6
2024,Haval,M6,870,561,55.1
2025,Haval,M6,1052,870,20.9
2022,Chevrolet,Malibu-2,333,,
2023,Chevrolet,Malibu-2,389,333,16.8
2024,Chevrolet,Malibu-2,278,389,-28.5
2025,Chevrolet,Malibu-2,260,278,-6.5
2022,Geely,Monjaro,99,,
2023,Geely,Monjaro,200,99,102.0
2024,Geely,Monjaro,347,200,73.5
2025,Geely,Monjaro,397,347,14.4
2022,Chevrolet,Onix,1987,,
2023,Chevrolet,Onix,2143,1987,7.9
2024,Chevrolet,Onix,1695,2143,-20.9
2025,Chevrolet,Onix,1452,1695,-14.3
2024,BYD,Seagull,1361,,
2025,BYD,Seagull,3396,1361,149.5
2022,Kia,Sonet,403,,
2023,Kia,Sonet,612,403,51.9
2024,Kia,Sonet,995,612,62.6
2025,Kia,Sonet,1146,995,15.2
2022,BYD,Song Plus DM-i,753,,
2023,BYD,Song Plus DM-i,3046,753,304.5
2024,BYD,Song Plus DM-i,7130,3046,134.1
2025,BYD,Song Plus DM-i,8947,7130,25.5
2022,BYD,Song Plus EV,108,,
2023,BYD,Song Plus EV,366,108,238.9
2024,BYD,Song Plus EV,851,366,132.5
2025,BYD,Song Plus EV,1036,851,21.7
2022,Kia,Sportage,147,,
2023,Kia,Sportage,205,147,39.5
2024,Kia,Sportage,310,205,51.2
2025,Kia,Sportage,345,310,11.3
2022,Chery,Tiggo 7 Pro,220,,
2023,Chery,Tiggo 7 Pro,576,220,161.8
2024,Chery,Tiggo 7 Pro,920,576,59.7
2025,Chery,Tiggo 7 Pro,1105,920,20.1
2022,Chery,Tiggo 8 Pro,92,,
2023,Chery,Tiggo 8 Pro,220,92,139.1
2024,Chery,Tiggo 8 Pro,360,220,63.6
2025,Chery,Tiggo 8 Pro,417,360,15.8
2022,Chevrolet,Tracker-2,1716,,
2023,Chevrolet,Tracker-2,1952,1716,13.8
2024,Chevrolet,Tracker-2,1493,1952,-23.5
2025,Chevrolet,Tracker-2,1290,1493,-13.6
