Yil,Chorak,Davr,Viloyat,Brend,Model,Kuzov_Turi,Dvigatel_Turi,Ishlab_Chiqarish,Narx_Segmenti,Ortacha_Narx_USD,Sotilgan_Soni,Umumiy_Tushum_USD
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11406,471,5372226
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8371,74,619454
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8014,36,288504
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13130,373,4897490
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),19780,105,2076900
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16283,134,2181922
2022,Q1,2022-Q1,Toshkent shahri,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),34076,37,1260812
2022,Q1,2022-Q1,Toshkent shahri,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30010,88,2640880
2022,Q1,2022-Q1,Toshkent shahri,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),23447,68,1594396
2022,Q1,2022-Q1,Toshkent shahri,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34260,11,376860
2022,Q1,2022-Q1,Toshkent shahri,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48475,3,145425
2022,Q1,2022-Q1,Toshkent shahri,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25487,17,433279
2022,Q1,2022-Q1,Toshkent shahri,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19974,12,239688
2022,Q1,2022-Q1,Toshkent shahri,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31850,4,127400
2022,Q1,2022-Q1,Toshkent shahri,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22430,14,314020
2022,Q1,2022-Q1,Toshkent shahri,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18906,15,283590
2022,Q1,2022-Q1,Toshkent shahri,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28573,7,200011
2022,Q1,2022-Q1,Toshkent shahri,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17687,34,601358
2022,Q1,2022-Q1,Toshkent shahri,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32564,13,423332
2022,Q1,2022-Q1,Toshkent shahri,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34145,10,341450
2022,Q1,2022-Q1,Toshkent shahri,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35166,6,210996
2022,Q1,2022-Q1,Toshkent shahri,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),26063,6,156378
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11301,189,2135889
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8689,133,1155637
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),7990,81,647190
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13017,127,1653159
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),19919,40,796760
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16245,50,812250
2022,Q1,2022-Q1,Toshkent viloyati,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),34007,7,238049
2022,Q1,2022-Q1,Toshkent viloyati,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30598,14,428372
2022,Q1,2022-Q1,Toshkent viloyati,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22916,11,252076
2022,Q1,2022-Q1,Toshkent viloyati,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34463,1,34463
2022,Q1,2022-Q1,Toshkent viloyati,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48156,1,48156
2022,Q1,2022-Q1,Toshkent viloyati,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25314,7,177198
2022,Q1,2022-Q1,Toshkent viloyati,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19935,3,59805
2022,Q1,2022-Q1,Toshkent viloyati,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31862,1,31862
2022,Q1,2022-Q1,Toshkent viloyati,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22462,6,134772
2022,Q1,2022-Q1,Toshkent viloyati,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18888,7,132216
2022,Q1,2022-Q1,Toshkent viloyati,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28340,3,85020
2022,Q1,2022-Q1,Toshkent viloyati,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17327,12,207924
2022,Q1,2022-Q1,Toshkent viloyati,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32332,5,161660
2022,Q1,2022-Q1,Toshkent viloyati,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33847,4,135388
2022,Q1,2022-Q1,Toshkent viloyati,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35092,3,105276
2022,Q1,2022-Q1,Toshkent viloyati,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25898,1,25898
2022,Q1,2022-Q1,Samarqand,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11334,184,2085456
2022,Q1,2022-Q1,Samarqand,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8526,141,1202166
2022,Q1,2022-Q1,Samarqand,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8056,74,596144
2022,Q1,2022-Q1,Samarqand,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12804,160,2048640
2022,Q1,2022-Q1,Samarqand,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20042,50,1002100
2022,Q1,2022-Q1,Samarqand,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16181,51,825231
2022,Q1,2022-Q1,Samarqand,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33978,6,203868
2022,Q1,2022-Q1,Samarqand,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30424,17,517208
2022,Q1,2022-Q1,Samarqand,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22795,12,273540
2022,Q1,2022-Q1,Samarqand,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34433,2,68866
2022,Q1,2022-Q1,Samarqand,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48654,1,48654
2022,Q1,2022-Q1,Samarqand,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25470,4,101880
