yil,brend,model,viloyat,dvigatel_turi,sotilgan_soni,ortacha_narx_usd,umumiy_tushum_usd
2022,Chevrolet,Cobalt,Toshkent shahri,Benzin,471,11406.00,5372226.00
2022,Chevrolet,Damas,Toshkent shahri,Benzin,74,8371.00,619454.00
2022,Chevrolet,Labo,Toshkent shahri,Benzin,36,8014.00,288504.00
2022,Chevrolet,Lacetti/Gentra,Toshkent shahri,Benzin,373,13130.00,4897490.00
2022,Chevrolet,Tracker-2,Toshkent shahri,Benzin (Turbo),105,19780.00,2076900.00
2022,Chevrolet,Onix,Toshkent shahri,Benzin (Turbo),134,16283.00,2181922.00
2022,Chevrolet,Malibu-2,Toshkent shahri,Benzin (Turbo),37,34076.00,1260812.00
2022,BYD,Song Plus DM-i,Toshkent shahri,Gibrid (PHEV),88,30010.00,2640880.00
2022,BYD,Chazor (Destroyer 05),Toshkent shahri,Gibrid (PHEV),68,23447.00,1594396.00
2022,BYD,Song Plus EV,Toshkent shahri,Elektromobil (EV),11,34260.00,376860.00
2022,BYD,Han,Toshkent shahri,Elektromobil (EV),3,48475.00,145425.00
2022,Chery,Tiggo 7 Pro,Toshkent shahri,Benzin (Turbo),17,25487.00,433279.00
2022,Chery,Arrizo 6 Pro,Toshkent shahri,Benzin (Turbo),12,19974.00,239688.00
2022,Chery,Tiggo 8 Pro,Toshkent shahri,Benzin (Turbo),4,31850.00,127400.00
2022,Haval,Jolion,Toshkent shahri,Benzin (Turbo),14,22430.00,314020.00
2022,Haval,M6,Toshkent shahri,Benzin,15,18906.00,283590.00
2022,Haval,H6,Toshkent shahri,Benzin (Turbo),7,28573.00,200011.00
2022,Kia,Sonet,Toshkent shahri,Benzin,34,17687.00,601358.00
2022,Kia,K5,Toshkent shahri,Benzin,13,32564.00,423332.00
2022,Kia,Sportage,Toshkent shahri,Benzin,10,34145.00,341450.00
2022,Geely,Monjaro,Toshkent shahri,Benzin (Turbo),6,35166.00,210996.00
2022,Jetour,Dashing,Toshkent shahri,Benzin (Turbo),6,26063.00,156378.00
2022,Chevrolet,Cobalt,Toshkent viloyati,Benzin,189,11301.00,2135889.00
2022,Chevrolet,Damas,Toshkent viloyati,Benzin,133,8689.00,1155637.00
2022,Chevrolet,Labo,Toshkent viloyati,Benzin,81,7990.00,647190.00
2022,Chevrolet,Lacetti/Gentra,Toshkent viloyati,Benzin,127,13017.00,1653159.00
2022,Chevrolet,Tracker-2,Toshkent viloyati,Benzin (Turbo),40,19919.00,796760.00
2022,Chevrolet,Onix,Toshkent viloyati,Benzin (Turbo),50,16245.00,812250.00
2022,Chevrolet,Malibu-2,Toshkent viloyati,Benzin (Turbo),7,34007.00,238049.00
2022,BYD,Song Plus DM-i,Toshkent viloyati,Gibrid (PHEV),14,30598.00,428372.00
2022,BYD,Chazor (Destroyer 05),Toshkent viloyati,Gibrid (PHEV),11,22916.00,252076.00
2022,BYD,Song Plus EV,Toshkent viloyati,Elektromobil (EV),1,34463.00,34463.00
2022,BYD,Han,Toshkent viloyati,Elektromobil (EV),1,48156.00,48156.00
2022,Chery,Tiggo 7 Pro,Toshkent viloyati,Benzin (Turbo),7,25314.00,177198.00
2022,Chery,Arrizo 6 Pro,Toshkent viloyati,Benzin (Turbo),3,19935.00,59805.00
2022,Chery,Tiggo 8 Pro,Toshkent viloyati,Benzin (Turbo),1,31862.00,31862.00
2022,Haval,Jolion,Toshkent viloyati,Benzin (Turbo),6,22462.00,134772.00
2022,Haval,M6,Toshkent viloyati,Benzin,7,18888.00,132216.00
2022,Haval,H6,Toshkent viloyati,Benzin (Turbo),3,28340.00,85020.00
2022,Kia,Sonet,Toshkent viloyati,Benzin,12,17327.00,207924.00
2022,Kia,K5,Toshkent viloyati,Benzin,5,32332.00,161660.00
2022,Kia,Sportage,Toshkent viloyati,Benzin,4,33847.00,135388.00
2022,Geely,Monjaro,Toshkent viloyati,Benzin (Turbo),3,35092.00,105276.00
2022,Jetour,Dashing,Toshkent viloyati,Benzin (Turbo),1,25898.00,25898.00
2022,Chevrolet,Cobalt,Samarqand,Benzin,184,11334.00,2085456.00
2022,Chevrolet,Damas,Samarqand,Benzin,141,8526.00,1202166.00
2022,Chevrolet,Labo,Samarqand,Benzin,74,8056.00,596144.00
2022,Chevrolet,Lacetti/Gentra,Samarqand,Benzin,160,12804.00,2048640.00
2022,Chevrolet,Tracker-2,Samarqand,Benzin (Turbo),50,20042.00,1002100.00
2022,Chevrolet,Onix,Samarqand,Benzin (Turbo),51,16181.00,825231.00
2022,Chevrolet,Malibu-2,Samarqand,Benzin (Turbo),6,33978.00,203868.00
2022,BYD,Song Plus DM-i,Samarqand,Gibrid (PHEV),17,30424.00,517208.00
2022,BYD,Chazor (Destroyer 05),Samarqand,Gibrid (PHEV),12,22795.00,273540.00
2022,BYD,Song Plus EV,Samarqand,Elektromobil (EV),2,34433.00,68866.00
2022,BYD,Han,Samarqand,Elektromobil (EV),1,48654.00,48654.00
2022,Chery,Tiggo 7 Pro,Samarqand,Benzin (Turbo),4,25470.00,101880.00
2022,Chery,Arrizo 6 Pro,Samarqand,Benzin (Turbo),6,20083.00,120498.00
2022,Chery,Tiggo 8 Pro,Samarqand,Benzin (Turbo),3,31865.00,95595.00
2022,Haval,Jolion,Samarqand,Benzin (Turbo),3,22433.00,67299.00
2022,Haval,M6,Samarqand,Benzin,6,18883.00,113298.00
2022,Haval,H6,Samarqand,Benzin (Turbo),2,28585.00,57170.00
2022,Kia,Sonet,Samarqand,Benzin,11,17630.00,193930.00
2022,Kia,K5,Samarqand,Benzin,4,32530.00,130120.00
2022,Kia,Sportage,Samarqand,Benzin,3,33989.00,101967.00
2022,Geely,Monjaro,Samarqand,Benzin (Turbo),1,34920.00,34920.00
2022,Jetour,Dashing,Samarqand,Benzin (Turbo),2,25915.00,51830.00
2022,Chevrolet,Cobalt,Farg‘ona,Benzin,130,11497.00,1494610.00
2022,Chevrolet,Damas,Farg‘ona,Benzin,245,8436.00,2066820.00
2022,Chevrolet,Labo,Farg‘ona,Benzin,164,8033.00,1317412.00
2022,Chevrolet,Lacetti/Gentra,Farg‘ona,Benzin,115,12971.00,1491665.00
2022,Chevrolet,Tracker-2,Farg‘ona,Benzin (Turbo),38,20121.00,764598.00
2022,Chevrolet,Onix,Farg‘ona,Benzin (Turbo),43,16207.00,696901.00
2022,Chevrolet,Malibu-2,Farg‘ona,Benzin (Turbo),5,33851.00,169255.00
2022,BYD,Song Plus DM-i,Farg‘ona,Gibrid (PHEV),12,30117.00,361404.00
2022,BYD,Chazor (Destroyer 05),Farg‘ona,Gibrid (PHEV),8,22812.00,182496.00
2022,BYD,Song Plus EV,Farg‘ona,Elektromobil (EV),1,34312.00,34312.00
2022,BYD,Han,Farg‘ona,Elektromobil (EV),1,48565.00,48565.00
2022,Chery,Tiggo 7 Pro,Farg‘ona,Benzin (Turbo),7,25642.00,179494.00
2022,Chery,Arrizo 6 Pro,Farg‘ona,Benzin (Turbo),4,19925.00,79700.00
2022,Chery,Tiggo 8 Pro,Farg‘ona,Benzin (Turbo),1,31929.00,31929.00
2022,Haval,Jolion,Farg‘ona,Benzin (Turbo),2,22497.00,44994.00
2022,Haval,M6,Farg‘ona,Benzin,6,18846.00,113076.00
2022,Haval,H6,Farg‘ona,Benzin (Turbo),3,28422.00,85266.00
2022,Kia,Sonet,Farg‘ona,Benzin,10,17554.00,175540.00
2022,Kia,K5,Farg‘ona,Benzin,4,32397.00,129588.00
2022,Kia,Sportage,Farg‘ona,Benzin,4,33997.00,135988.00
2022,Geely,Monjaro,Farg‘ona,Benzin (Turbo),3,34943.00,104829.00
2022,Jetour,Dashing,Farg‘ona,Benzin (Turbo),1,25896.00,25896.00
2022,Chevrolet,Cobalt,Andijon,Benzin,129,11648.00,1502592.00
2022,Chevrolet,Damas,Andijon,Benzin,214,8558.00,1831412.00
2022,Chevrolet,Labo,Andijon,Benzin,144,8145.00,1172880.00
